Asunto,Reseña,Fecha,Calificación
Wir führen mit dem Nightjet vom München…,"Wir führen mit dem Nightjet vom München nach Rom. Bei uns klappt alles. Unser Waggon Nr. 252 Schlafwagen war da und es funktioniert alles. Dusche, WC, super freundliches Personal und pünktlich. Da wir unser Abteil mit einem Koffer gurt sichern könnten würde auch nichts gestohlen. Auch bei der Rückfahrt von Mailand nach München war alles Top für uns. Im Gegenteil für unsere Nachbarn aus Holland. Ihnen würde 25 Euro aus der Geldbörse im Abteil entwendet, als eine Person aufs Klo ging und somit kurz das Abteil nicht verschlossen war. Wir empfiehlten ihn es anzuzeigen aber sie hatten keine Zeit. In den neuen Nightjet sind hoffentlich Kameras installiert die die Gänge überwachen, damit die Diebstähle weniger werden. Das verzurren mit Gurten von innen der Abteile sollte von Öbb empfohlen werden.",2024-06-01,4
always fine for me between Graz and…,"always fine for me between Graz and Vienna, dunno why people complaining so much",2024-05-14,4
"Angenehme Reise, leichte Refundierung","Die Fahrt mit dem Nightjet von Berlin nach Graz war sehr angenehm, wir kamen mit lediglich 10 Minuten Verspätung an. Ich hatte ein Schlafwagen zur alleinigen Nutzung mit Dusche. Alles war sauber und die Mitarbeiter waren sehr hilfsbereit. Leider hat die Wasserheizung nicht funktioniert, sodass ich nicht duschen konnte, aber meine Erstattungsanfrage wurde in 4 Tagen bearbeitet, ich kann mich also nicht beschweren.

REISE VON HAMBURG NACH WIEN, 12.01.2024:
Meiner Meinung nach sind die neuen Nightjets unbequemer, weil die Federung sich bedeuten schlechter anfühlt. Ich habe jede Weiche gespürt. Aber ansonsten sind sie toll, lediglich ein Speisewagen oder Automaten sollten ergänzt werden.
Jedoch wurde mein Frühstück bei beiden Reisen vergessen und ich musste explizit danach verlangen.",2024-04-20,4
Lob für die Zugbegleiter im Nightjet,"Zweimal mit dem Nachtzug gefahren, einmal Liege-, einmal Schlafwagen, beide Male hat alles sehr gut geklappt. Die Betten waren sauber, das Frühstück völlig ok. Besonders hervorzuheben ist die Freundlichkeit der Zugbegleiter, absolut nachahmenswert.",2024-02-14,4
Hallo,"Hallo
Obwohl ich meiner Bewertung vier Sterne gegeben habe, weil sie diese aufgrund der Leistungen, die sie den Bürgern bieten, und der guten Entwicklung des Verkehrssystems in Österreich verdient haben, habe ich gehofft, dass meine Beschwerde ernst genommen wird. Mir wurde eine Geldstrafe auferlegt, weil ich während einer Zugfahrt kein Ticket hatte, weil der Fahrkartenautomat kaputt war und weder Geld noch meine Bankkarte akzeptierte und ich mich beeilen musste, um meinen Sohn von der Schule abzuholen. Leider kümmerten sie sich nicht um meine Beschwerde und die Untersuchung der Angelegenheit und bestanden auf der Zahlung der Geldstrafe. Aus Respekt vor dem österreichischen Recht und weil ich Österreich dankbar bin und seine Großzügigkeit in vielen anderen Angelegenheiten schätze, werde ich diesen Betrag gerne bezahlen.
Ich hoffe, dass Sie den kaputten Automaten am Bahnhof Hütteldorf reparieren, damit nicht noch andere in das gleiche Problem geraten.",2024-01-21,4
Fahre immer wieder mit der OEBB,"Fahre immer wieder mit der OEBB. Ich muss sagen im Vergleich zu anderen ist mir die OEBB absolut am liebsten. Ja, es gibt Verspätungen. Bis anhin hatte fast jeder Zug Verspätung. Beim Nachtzug hatte ich z.B. bis anhin sehr gute und sehr schlechte Erlebnisse. Von fast pünktlich angekommen bis 3 Stunden Verspätung. In den meisten Fällen wurde gut informiert (Email oder an Bord). Die neuen Nachtzüge sind auf jeden Fall besser als die alten Züge. Bei unserer Fahrt gab es leider Probleme und das Licht wurde jede Stunde angestellt (ab 1 Uhr Nachts). Das fanden meine Kinder und ich nicht so toll. Die individuell einzustellende Lüftung wäre super, wenn diese denn auch funktionieren würde, wenn das Licht ausgedreht wird. Dann ist aber das ganze Panel inaktiv. Ist ein wenig schlecht durchdacht.
Zur Freundlichkeit:
Ich habe noch nie eine unfreundliche Person erlebt, weder im Zug noch am Telefon. Zu Coronazeiten war man bei Reise sehr kulant und zuvorkommend. Sehr unkompliziert bei der Rückerstattung bei Verspätungen! Formular ausgefüllt und zwei Tage später war der Gutschein da. Versucht das mal bei SNCF! Die haben mich fast wahnsinnig gemacht. Und nach 2 Monaten habe ich bis anhin nur ein Email mit der Bestätigung, dass ich irgendwann einen Gutschein bekommen werde.
Preis:
Wer Vorteilskarte hat fährt wirklich günstig. Die Fahrt ist z.t. dreimal so teuer, wenn man sie über die SBB bucht. Wer also über Preise motzt kann sich da gerne mal informieren. Dafür ist die SBB halt sehr pünktlich.
Was mich wirklich ein wenig stört - erste Klasse fahren ist mittlerweile ähnlich wie bei der SBB- da gibt es kaum Unterschied zur zweiten Klasse. Die ist genauso überfüllt und der Service am Platz hat bei uns fast nie funktioniert. Denn bis die Bestellung kommt hat es durchschnittlich (ohne Übertreibung) 1 Stunde gedauert. Ich war auch schon in Zügen, wo Leute in der ersten Klasse gestanden sind.
Sauberkeit:
Bis anhin super. Es ist auch während der Fahrt jemand durchgegangen und hat den Müll geleert.
Ausnahme war der Nachtzug.
Da wurde sehr schlecht geputzt. Auf der oberen Liege waren massenhaft Brotkrümel und leere Wasserflaschen.
Fazit:
Alles in allem schätze ich die Oebb. Auch, weil sie die Nachtzüge weiterhin am Leben erhält und preislich wirklich günstig (sein kann) ist.",2023-11-03,4
Jetzt muss auch einer mal eine gute…,"Jetzt muss auch einer mal eine gute Bewertung schreiben. Fahre viel mit dem österreichischen Zug (nur Stadt-Stadt Langstrecke) und meistens schafft ers auch pünktlich. Die Leute sind freundlich und verglichen mit dem Auto (das ich dann in die Reparatur bringen muss und Pickerl machen und Reifen wechseln und weitere sinnlos verschwendete Lebenszeit) ist ab und an eine Bahnverspätung auch ganz ok.
Einen Stern Abzug gibt's für die recht unübersichtlichen Möglichkeiten in der Ticketwebseite. Die schaut zwar schön aus, ist aber ÜBERHAUPT NICHT nutzerfreundlich. Macht lieber was hässliches, wo sich auch ein nicht computeraffiner Mensch auskennt.",2023-07-10,4
Travelled from Amsterdam to Wien on…,"Travelled from Amsterdam to Wien on 17th of April. We had a three bed compartment to ourselves. The carriage staff were friendly and helpful. The compartment was clean and comfortable. We shared a toilet and shower. One of the toilets was a bit stinky.
Overall not a bad experience, but you must manage expectations. This is not the Orient Express, not is it meant to be.",2023-04-26,4
Ich würde es wieder tun!,"Ich bin per Nightjet von Wien nach Hamburg gereist. Ich hatte eine Einzelkabine mit Bett. Eine Tüte mit Handtuch, veganen (🥰) Snacks, Schlafbrille und Ohrstöpseln lag bereit - top! Der Service war einwandfrei, sogar ein veganes Frühstück gab es. Einziger negativer Punkt: Das Bett. Es war leider bretthart, was mir die Nacht erschwerte. Dennoch würde ich jederzeit wieder den Nightjet buchen.",2023-04-22,4
Erstaunlich flexibel,"Nach Ewigkeiten in der warteschleife ein freundlicher Mitarbeiter, der sogar eine flexible Umbuchung vornimmt. Positiv überrascht. Jetzt muss nur noch der Zug pünktlich sein.",2023-04-18,4
Ja nichts trinken om Zug,"Bin im Zug von Salzburg nach Graz, Fahrzeit über 4 Stunden, und kein benutzbares WC in den 2 vor und 2 dahinterliegenden Wagons.
Das muss doch gehen oder? Irgendawann geht mal was schief bei euch im Zug.",2025-11-21,3
Das Service im Internet extrem gut,Das Service im Internet extrem gut. Das Service Vorort lässt zu wünschen übrig. Züge die auf einem Gleis fast gleichzeitig in verschiedene Richtungen fahren müssten besser ersichtlich gekennzeichnet sein. Bei Schienen-Ersatzverkehr müssten die Abfahrtsorte viel deutlicher markiert werden. Bahnhofrestaurants müssten wieder aktiviert werden. Nur BurgerKing und McDonalds ist keine Lösung. In den Bahnhöfen müssten zudem Polizeistellen installiert werden und dadurch für mehr Sicherheit und Personenschutz gesorgt werden.,2025-11-16,3
Warum kommt REX 2 in Tirol am…,Warum kommt REX 2 in Tirol am Donnerstag jedes Mal zu spät? Ich bekomme jede Woche Ärger für das Zuspätkommen. Sonst eigentlich gut,2025-11-13,3
Generally unreliable,"There are many train connections, and the trains are clean and modern. The WiFi on the trains is bad. Every other day, trains get cancelled without notice, and getting refunds is extremely complicated.",2025-10-14,3
Nightjet Autoreisezug,"Mit dem Nightjet Autoreisezug von Feldkirch nach Wien. Die neue Wartehalle beim Autoreisezug verfügt über keinen Stromanschluss für Handy. Der Warteraum im Bahnhof hat wohl Anschlüsse, die jedoch nicht laden - kein Strom. Weder am Bahnhof noch im Zug ist W-Lan verfügbar, obwohl angepriesen. Es wird auf Plastikbesteck verzichtet, dafür gibt es jetzt jede Scheibe Brot beim Frühstück extra im Plastiksackerl. Wobei über Vollkornbrot statt Semmel freue ich mich. Ansonsten war der Zug pünktlich, die Zugbegleiter sehr freundlich und alles war sauber.",2025-08-18,3
Grundsätzlich gut,Grundsätzlich gut. Eine Fahrt ohne Verspätungen gibt es nie! Fahre oft zwischen Innsbruck und Wien…,2025-07-02,3
ÖBB kann echt eine Herausforderung sein!!,"Ich fahre beruflich sehr viel mit dem Zug in der Businessclass und bin meistens auch zufrieden was die Pünktlichkeit betrifft. Preis-Leistung hingegen passt nicht immer! Die WC.. Poah, sind ein tlw. Unzumutbarer Sonderfall!
Heute hatte ich bereits eine Fahrt von Wien nach Graz mit Verspätungen und dann noch Graz - Salzburg mit einer seeehr alten und ausrangierten Garnitur unterwegs! Alles noch irgendwie ok, wenn auch richtig anstrengend!! .. aber nach der 4+ stunden Fahrt wollte ich in Sbg noch kurz in die Business Lounge um aufs WC zu gehen….
ABER.. seit Wochen ist der Scanner kaputt um hineinzukommen, klopfen und einige Minuten warten halfen nicht, ich kam nicht rein!! Ich habe das Personal innen quatschen gesehen, doch leider wurde mir nicht geholfen!! Das ist äußerst ärgerlich nach so einer langen Reise!! Und noch dazu wenn man ein so teures Ticket besitzt und dann nicht davon profitieren kann!
Bitte repariert ENDLICH den Scanner oder schaltet die Türe einfach auf „Dauerbetrieb“!! Das kann’s nicht sein!!!",2025-07-01,3
Schlechte Erfahrungen,"Als erstes Der bus sollte um die Uhrzeit die an der Tabelle angegeben ist auch ankommen und nicht spät kommen( erste Station ) (10 -15min zu spät ). Als ich in den bus stieg wollte ein Junge auch hinein kommen. Er war jedoch hinter mir und als er reinkommen wollte hat die busfahrerin die Tür geschlossen und ist weg gefahren. Es ist unmöglich das die Busse keine normale Temperatur haben können, an einem Tag ist es so heiß wie in der Sauna und am anderen Tag ist es so kalt wie in der Antarktis. Manche Busfahrer/innen sind unhöflich. Es ist unakzeptabel !",2025-04-03,3
Ein Obdachloser mit fetten Beinen…,Ein Obdachloser mit fetten Beinen steigt von Zug zu Zug und fährt schwarz herum. Er stinkt und das ist nicht mehr auszuhalten. Ich hoffe das er etwas besseres findet aber nicht die Öffis. Und die Security sollte sich mal besser umschauen.,2025-03-23,3
"Keine Info erhalten, Reservierung war weg","1. Klasse reserviert, Zug retour von Wien nach Innsbruck wurde einfach verkürzt, unsere reservierten Plätze waren somit einfach nicht da. Wir erhielten keine Informationen darüber. Entspanntes Reisen sieht anders aus. Man wird schlichtweg belogen, wenn man diese unerträglich süßen Bahnwerbungen sieht.ich Reise selten mit der Bahn, aber wirklich jedes Mal ist bei einem Schenkel so eine Erfahrung mit dabei. Kein Wunder, dass dann wieder zum Auto gegriffen wird.",2025-01-31,3
Hochwasser Irrfahrt Schienenersatzverkehr,"Nach 3 Monaten bekam ich einen Gutschein von 50 Euro, dafuer dass ich eine 1200 Euro Flug - Reise verloren hab. Mein Sparticket 3 Monate vorher gebucht Wels - Flughafen Wien - Reisewarnung Hochwasser - Aufhebung Zuganbindung - Ticket wurde lächerliche 5 Tage verlängert, wie soll man 5 Tage später fahren, wenn man im Urlaub ist? - alle Zuege von Wels zum Flughafen Wien wurden per Mail am Morgen des 15.9. als unterbrochen angekündigt - einer fuhr aber planmaeßig - ich fragte extra nach -wir mussten aber einfach aussteigen in Amstetten /ybbs -- Strecke wurde ganz gesperrt - keine Kommunikation - Zug stand in der Zeitung *Fahrgäste in Ybbs gestrandet* - Wir kamen in einen Bus - - *wir fahren nach Wien * sagte eine Frau (Gast) nach 20 Minuten Stehtzeit , sonst sprach keiner mit uns- Taxi gab es keines, auch keinen Weg zurück - SchienenersatzverkehrBusfahrer öbb warf uns nach 3 Stunden Irrfahr am WESTbahnhof!! raus, obwohl nur Leute fuer den Flughafen im Bus waren, - ich musste mit Behinderung 3 Stunden stehen im Bus... Es kamen alle 4 Stunden zu spät am Flughafen an. Der öbb Bus - Fahrer redete kein Wort mit uns wo wir hinfahren. Tuere ging waehred der Fahrt hinten auf. Es war gruselig. 1200 Euro GenesungsReise verloren, Tickets wurden ersetzt// und nach langem Diskutieren hab ich einen 50 Euro Gutschein bekommen, weil normal gibt's wegen Hochwasser und weil gewarnt wurde Null.-- 50 Euro sind gar nichts, es ging um die Bus Irrfahrt! Reiseversicherung sagt einfach hoehere Gewalt und zahlt nichts. Der Busfahrer war in einer Ausnahme Situation, aber die öbb sollte dieses Odyssee Erlebniss anders ersetzen. Wer dabei war weiß wovon ich rede
Nachtrag : Hr Mag Fasoli vom Konsumentenschutz hat erwirkt, dass ich von der ERV doch noch 50 Prozent meiner verlorenen Kosten erstattet bekomme",2025-03-31,3
Fuhren am 13.11 von Venedig nach…,"Fuhren am 13.11 von Venedig nach München. Mehrere Kunden baten den Schaffner darum die Heitung höher zu stellen, da wir froren. Interessierte den Mann nicht, meinte nur, dies regle der Zug selbständig?!? Ich kam krank in München an. Sonst wär der Zug bequem gewesen. Schade beste Technik funktioniert nicht mit ignorantem Personal.",2024-11-21,3
Se anche viaggiare bene di notte diventa un lusso...,"Ho viaggiato spesso da Monaco a Udine e viceversa, e le cose non sono mai andate troppo male. Il treno notte non si era mai distinto per pulizia, ma si viaggiava ad un prezzo abbordabile e si dormiva. Cosa importante, per chi vuole trarre il meglio dal giorno che segue. Negli scompartimenti i sedili si potevano abbassare in modo che ci si poteva stendere usando il sedile di fronte, naturalmente se non era già occupato.
Sul nuovo night jet Innsbruck-Hamburg su cui mi trovo, invece, non ci sono scompartimenti. Ogni stazione diventa un via vai di gente, che si comporta peraltro come se il treno fosse un qualunque treno giornaliero (anche perché ne ha la stessa struttura, se prenoti un posto a sedere)! I sedili sembrano essere fatti per essere scomodi il più possibile se ci vuoi dormire. Per me il treno dovrebbe essere fatto per viaggiare in modo comodo, economico e sostenibile, anche di notte. Almeno di buono e lodevole c'è che la Öbb sta investendo ed espandendo l'offerta di collegamenti e possibilità, cosa non indifferente. Solo non sarebbe giusto se la comodità diventasse sempre un lusso.",2024-11-03,3
Die 3 Sterne gehören nur der…,"Die 3 Sterne gehören nur der Servicemitarbeiterin im Bahnhof Wiener Neustadt! Die Gesamtorganisation bekommt keinen! Ich buche online ein 1.Klasseticket . Reservierung gibt es keine dazu! Später stellt sich heraus, dass es gar keine 1.Klasse geben wird. Ich glaube, ich spinne! Die Mitarbeiterin in Wiener Neustadt hat versucht, alles gerade zu biegen, jetzt muss ich 2 Stunden früher fahren und bekomme hoffentlich die Leistungen, die ich gebucht habe. Aber was machen andere, die davon überrascht werden?",2024-10-25,3
Auf der Fahrt von IBK nach Saalfelden…,Auf der Fahrt von IBK nach Saalfelden hatte der Railjet Verspätung. Der Zug von Wörgl nach Saalfelden hat nicht gewartet... über 1Stunde sinnloses Warten. Nach Auskunft des Fahrdienstleiters hätte ich mich beim Schaffner melden müssen. Tja den hab ich nicht gesehen.... Wenn man pünktlich sein muss dann vielleicht doch 1-2 Tage Puffer einplanen oder zu Fuß gehen...,2024-10-16,3
VIENNA CITY CARD,"Wir haben uns die VIENNA CITY CARD für 7 Tage gekauft, um in Wien Bus und Bahn zu nutzen. Das Ticket bietet zwar Vergünstigungen bei Partnern, aber leider hat sich das für uns nicht wirklich gelohnt. Kaum eine große Attraktion akzeptierte das Ticket, nur in einem Museum haben wir lediglich 2 € gespart.",2024-10-01,3
wetterbedingte Reisewarnung,"Nach wetterbedingter Reisewarnung hat die ÖBB die Zugbindung aufgehoben. Dadurch habe ich meine Reise zum Flughafen Wien sicherheitshalber 2 Stunden früher angetreten - ohne Zusatzkosten - dafür entspannt.

Eine Woche später, am 21. September war meine Erfahrung etwas anders. Da waren viele Züge vom Flughafen Wien Richtung Linz gestrichen und fuhren nicht, obwohl sie online und sogar am Bahnsteig noch angezeigt wurden. Das fand ich schon eher unverständlich, dass es so schwierig ist, dies auch online abzubilden. Schließlich werden auch Zugverspätungen aktuell in Scotty angezeigt….",2024-09-29,3
Öbb hat sich bewiesen,"Seit einer Ewigkeit bin ich nicht mehr mit dem Zug gefahren. Natürlich, wenn man einmal damit wieder fährt, sofort die Verspätung von rund 20 Minuten erfahren. (Weg von Wiener Neustaft nach Sopron). Der Grund war nur, dass der Lokführer zwei Triebwagen zusammenführen hätte sollen. Im Endeffekt bekommt man eine lautstarke Diskussion mit, wo der eine Lokführer am Bahnsteig neben uns, Fahrgästen, mit dem anderem am Telefon diskutiert. Ich bin wirklich gerne Zug gefahren, aber dass wars wieder für eine seeeeeehhr Lange Zeit. Außerdem, wenn die ganz alten Wagen eingesetzt werden (5047er) dann wäre es toll wenn auf die Richtige Kennzeichnung geachtet wird. Am Zug steht REX nach Deutschkreuz, letztlich sitz ma auf einmal im R nach Sopron. (Is zwar derselbe Weg für mich, aber Leute die über Sopron hinaus hätten wollen, hätten mit dieser Verbindung Pech gehabt... Das postivie aber ist, dass die Sitze in dem Zug bequemer sind, als in manch anderem Garnituren.",2024-08-07,3
Überfüllte Züge,"Trotz überfüllten Zug lassen bestimmte Fahrgäste ihr Gepäck einfach auf den Sitzen.,so auch bei unserr Fahrt von Gmunden nach Attnang.(1 Fahrgast 4 Plätze) Es wäre wünschenswert wenn das Zugpersonal sie auffordern würde das Gebäck in die Ablage zu gebe oder mindestens eine Aufforderung durch Lautsprecher weil selber wird man nur angepöbelt",2024-07-28,3
Nightjet 466 -Schlafwagen Double im…,"Nightjet 466 -Schlafwagen Double im Wagon 308 am 10.7.24

Positiv: der Eintritt zum klimatisierten und ruhigen Loungebereich war im Ticket inkludiert. Das ist für mich und meine Nicht an dem schwülem Abend extrem angenehm gewesen! Tolles Angebot!
Der Zug war relativ leise, auf unserer Seite, wo die Wagonstüren zugingen.
Die Kabine war ganz ok, wir haben eine angenehme Nacht verbracht und das Frühstück war mit den knusprigen Semmeln sehr gut!
Das Personal war auch zuvorkommend.

Unbedingt zu verbessern: Schon kurz nach der Abfahrt mussten wir feststellen, dass die Toiletten in unserem Wagon (308) entweder beschmutzt und übel richend oder nicht funktionstüchtig waren. Die Spülung ließ sich nicht betätigen!
Das finde ich inakzeptabel.
Die automatische Tür zum nächsten Wagon war auch außer Betrieb und blieb durch die Nacht offen, was für die Schlafkabinen in der Nähe laut ist.Daher nur 3 Sterne.",2024-07-22,3
Pünktlichkeit erhöhen,"Pünktlichkeit erhöhen, in HOCH-zeiten keine Kurzzüge!",2024-06-19,3
Leider ist das Behindertenabteil im…Verrammeltes Behindertenabteil,"Leider ist das Behindertenabteil im Nightjet regelmäßig mit Säcken voller alter Wäsche zugemüllt. Und es gibt tatsächlich Zugbegkeigter, die meinen, sie wünsten nicht dass man kommt und die Unordnung könnte so bleiben.
Geht gar nicht!",2024-05-31,3
Ständig gibt es auf meiner strecke in…,"Ständig gibt es auf meiner strecke in die arbeit Verspätung und zugausfälle. Öfters musste ich schon mit dem Taxi in die Arbeit fahren, was mir 40€ für eine Fahrt kostet. Zusätzlich bin ich schwanger und muss wortwörtlich darum kämpfen einen Platz zu bekommen sogar auf den extra für schwangeren reservierten Plätzen. Da fragt man sich halt schon warum man dann teuer ein Ticket kaufen muss wenn kaum noch auf die leute eingegangen wird. Früher gab es wenigstens noch durchsagen das man die Sitzplätze für alte und schwangere frei halten soll.
Ihr wollt das die Leute mehr mit den öffis fahren? Dann macht die Verbindungen besser und sorgt für zugpersonal das aufpasst das die Plätze für alte und schwangere frei gemacht wird vor allem auf den Strecken wo viele Schüler fahren. Sonst werden immer mehr Leute auf Autos zurückgreifen und die Umwelt noch mehr kaputt machen.",2024-03-19,3
Hab schon bessere Werbungen gesehen ...,,2024-02-08,3
Not a good experience,"The train is clean, but the communication is not good. The train from Venice to a Vienna sat at the border for an hour. We did not know what was going on. The conductor made a brief announcement in German only, no English or Italian. We made it to our destination 30 min late, not bad, but annoying not to know what was going on. Also, the mobile app is not very intuitive and the mobile ticket is delivered to your phone just as the train arrives. Even ÖBB website is funky to navigate. I was traveling with a friend and after we boarded the train, the police made us get off the train and show our passports. I’m a Schengen resident, and my friend is from the US of African American descent. No one else was asked to deboard and show their passports.",2024-01-07,3
Bezüglich erster Klasse,"Meine Fahrt gestern früh nach Wien verlief ohne weitere Probleme. Was mir aber dennoch sauer aufgestoßen ist, dass sich zwei nicht der deutschen Sprache mächtigen Fahrgäste einfach in die erste Klasse gesetzt haben ohne ein Ticket dafür gehabt zu haben (was dem Schaffner bei der ersten Kontrolle aufgefallen ist).Es geht mir auch nicht um die Menschen ansich kann ja gut sein, dass die was falsch verstanden haben und jeder Mensch kann sich irren. Dennoch ist es nicht in Ordnung, dass die ohne weiteren Nachdruck bis Salzburg durchfahren konnten. Ab Salzburg hat dann der Kollege der Öbb übernommen und zweimal die Herren in kurzem Abstand verwarnt, dass sie doch bitte in die zweite Klasse gehen müssen. Einer war auch weg aber dennoch kam der andere wieder da dort alles voll zu sein schien und das Ganze ging fast bis Wien: Koffer runter, wieder zurück, Koffer wieder rauf, lautes Sprechen in den Übersetzer - So kann man natürlich erste Klasse auch ohne Aufpreis fahren.Da fühlt man sich persönlich als zahlender Kunde schon veräppelt vorallem weil das Ganze auch eine enorme Ruhestörung war, der man ja gerade in der ersten Klasse aus dem Weg gehen möchte. Zwar nur eine Kleinigkeit, die ich aber dennoch erwähnen wollte denn andere reagieren darauf vielleicht ungehaltener als ich
EIn anderer Vorfall ist schon im Januar passiert und hat was mit der Öbb Lounge zu tun: Wieso werde ich nicht reingelassen mit einem gültigen Ticket ÖBB Nightjet Schlafwagenabteil (Das steht vor der Tür der Lounge!)? Begründung: Das ist zweite und nicht erste Klasse. Hä? Was zur Hölle soll bitte ein Schlafwagenticket der ersten Klasse sein? Schade, dass man deshalb willkürlich nicht reingelassen wird",2023-11-03,3
Fajre immer von der schule nachhause…,Fajre immer von der schule nachhause oder zu freunden jedoch gehen die Türen sehr schwer auf oder garnicht und er fährt ofz weiter obwohl man getrückt hat das der zug dann stehen bleiben soll,2023-10-25,3
Getränkeautomaten in Zügen,"Gefallen oft pünktlich sind hald Züge
Bitte Getränke Automaten in die Züge tun wäre sehr hilfreich da man oft davor keine Zeit dafür hat",2023-09-13,3
Als Alternative zum Fliegen muss der Nightjet besser werden!,"Meine Erfahrungen sind eher zweigeteilt.
Auf der Hinfahrt Hannover-Wien war trotz des angekündigten Downgrades doch der Schlafwagen verfügbar. Eine positive Überraschung bei Einfahrt des Zuges ! Der Zugbegleiter war leider etwas hektisch, als ich gerade im Abteil angekommen war, wollte er bereits die Bestellkarte für das Frühstück haben, erklärte dann aber doch ausführlich die Schließanlage des Abteils und wies mich noch einmal ausdrücklich auf das Verschließen der Tür hin.
Das Abteil ist eng, hatte aber ein funktionierendes Waschbecken, das Bett war gemacht, die kleine Tasche mit Slippern, Snacks, Handtuch/Waschlappen, zweite Flasche Wasser, Schlafbrille und Oropax stand im Abteil und der Wagen sah so erst einmal in Ordnung aus. Die Klimaanlage funktionierte gut (sowohl warm als auch kalt).
Die Toiletten waren bei Abreise auch in Ordnung, der öbb ist es nicht anzulasten, wenn die Fahrgäste Tücher auf dem Boden liegen lassen oder Zahnpastareste im Waschbecken der größeren Toilette mit Dusche nicht wegspülen. Das Frühstück war schlecht - pappige Brötchen und angetrockneter Käse. Da hätte ich gut drauf verzichten können. Die Fahrt nach Wien war grundsätzlich in Ordnung, die Laufruhe des Wagons ist wirklich gut, für mich war das Bett auch okay, (wer jedoch gerne weich schläft, ist hier ziemlich schlecht aufgestellt) und wir hatten 52 Minuten Verspätung in Wien.

Auf der Rückfahrt bot sich ein ganz anders Bild: Der Wagen war alt und überall verschmutzt. Bereits in Wien kam das Wasser im Abteil und auch auf den Toiletten nur spärlich tröpfelnd aus den Hähnen. Der Wasservorrat des Wagens war anscheinend in Wien nicht aufgefüllt worden.
Das Bordpersonal hatte mehr Zeit pro Fahrgast aufgewandt, die Auswahlkarte für das Frühstück wurde erklärt und es gab zur Begrüßung eine kleine Flasche Sekt. Gegen 21 Uhr wurden die Betten heruntergeklappt.
Soweit alles okay.

In der Nacht verschlimmerte sich allerdings die Wasserversorgung weiter, die Toilettenspülung funktionierte in diesem Wagen gar nicht mehr, die Toiletten wurden aber immer noch benutzt und es stank im ganzen Wagen nach Fäkalien. Ich kann nicht verstehen, warum das Wasser im Wagen während der langen Standzeit in Nürnberg nicht aufgefüllt wurde - so etwas geht gar nicht.

Dafür gab es zum Frühstück wirklich frische Brötchen, die erst in Göttingen (also kurz vor dem Frühstück) in den Zug geliefert wurden. Hier habe ich nur anzumerken, dass der Kaffee im Pappbecher (nicht nachhaltig) serviert wurde, auf der Hinfahrt war es ein wiederverwendbarer Becher gewesen. Die Auswahl ist ja auf allen Strecken gleich, nach der Erfahrung der Hinfahrt hatte ich diesmal keinen Käse sondern Marmelade geordert, die war okay.

Bei Ankunft in Hannover hatten wir 55 Minuten Verspätung, zum Glück habe ich dadurch keinen Anschlusszug verpasst.

Fazit: Grundsätzlich fahre ich lieber Zug als zu Fliegen, aber die lange Dauer, die Verspätungen und die teilweise schlechten Wagons machen mir diese Entscheidung nicht einfach. Die Nachtzüge könnten eine gute Alternative sein, zumal man bei der Buchung eines Schlafwagens auch die wirklich sehr gute öbb-Lounge an Wiener Bahnhof nutzen kann, allerdings erwarte ich bessere Wagons und vor allem auch funktionierende Ausstattung. Zumal der Preis für ein Single-Abteil schon ziemlich hoch ist.",2023-09-09,3
100 Minuten Verspätung,"Wegen einer Polizeikontrolle hatte unser Zug 100 Minuten Verspätung.
Wir haben den Anschlusszug verpasst.",2023-08-13,3
Teilweise überfordert,"Ein paar bemühte Mitarbeiter halten den Betrieb noch irgendwie am Laufen.
Für die müsste es eigentlich eine Durchhalteprämie geben.
Wird noch etwas dauern, bis die Managmentfehler der Vergangenheit ausgebessert werden können.
Bis dahin überfüllte Züge, Schienenersatzverkehr, Verspätungen, technische Gebrechen.
Fazit: Service knapp überdurchschnittlich.",2023-07-25,3
Ruhe in der Ruhezone!,"Immer wieder sind in der Ruhezone Nähe letzte, mit Absicht? sehr laut! das ist wirklich sehr unangenehm und niemanden vom Zugpersonal weißt darauf hin!! Vielleicht könnte man es auch Durchsagen?",2023-05-07,3
Traveled first class from Munich to…,"Traveled first class from Munich to Vienna. Car had no air circulating so it was quite warm and uncomfortable. Asked about it but as usual in Europe AC is a challenge and nothing improved. The seats are also kind of hard. My commuter train from Connecticut to New York City has better seats and air is always circulating even on cool days. Food and drink service though was very good (our steward Chan Ping was outstanding) and the prices reasonable. But do something about the air. In a country where they like to keep their homes filled with fresh air, I'm surprised people put up with this...",2023-05-06,3
Also ein online-Ticket auf die Schnelle…,Also ein online-Ticket auf die Schnelle zu kaufen geht nicht. Eine Ermäßigung hinzuzufügen ist immer wieder schwierig - ständig würde ein 2. Mitreisender dabei sein. Dauert gefühlt eine viertel Stunde bis es endlich erledigt ist.,2023-03-29,3
Interessant,"Interessant! ÖBB einer der pünktl. Bahnen!? Warum ist sie gerade bei meinen wenigen Bahnreisen zu geschätzten 90% unpünktlich. Besonders ärgerlich, wenn ich Anschlusszüge verpasse, wo ich jedesmal über 5 Min. - genügend Umsteigezeit hätte! Am Schluss brauchte für eine Reise 2 aber auch schon 3 Stunden länger - ist das Kundenfreundlich???
Gerne hätte ich dem ÖBB Kundendienst direkt eine EMail zugestellt, doch auch das ist eine ""Kunst""",2025-11-16,2
